field_1,row,col,type,id,bool1,X1,Y1,X2,Y2,bool2,XG,YG,Lng,Ang,typeH,proche route,proche canal,perp route,perp canal
"226","0","5",H,"12078",1,310030.21997,2403312.505993,310067.00061,2403290.753737,1,310048.61029,2403301.629865,42.731442,2.104872,HO,"1","0","0",
"227","0","5",H,"12105",1,310133.21933,2403330.999337,310124.062082,2403263.996393,1,310128.640706,2403297.497865,67.625806,0.135828,HP,"0","0","0",
"228","0","5",H,"12115",1,310186.967266,2403190.256777,310250.436386,2403344.501289,1,310218.701826,2403267.379033,166.792382,0.390367,HO,"0","0","0",
"229","0","5",H,"12127",1,310222.001826,2403355.253929,310250.436386,2403344.501289,1,310236.219106,2403349.877609,30.399728,1.932329,HO,"1","0","0",
"230","0","5",H,"12128",1,310136.65693,2403351.994889,310165.87517,2403352.751369,1,310151.26605,2403352.373129,29.228031,1.544911,HV,"1","0","0",
"231","0","5",H,"12129",1,310165.87517,2403352.751369,310178.47021,2403359.749929,1,310172.17269,2403356.250649,14.408847,1.063618,HO,"1","0","0",
"232","0","5",H,"12163",1,309955.389154,2403405.740393,309956.686082,2403374.256201,1,309956.037618,2403389.998297,31.510893,3.100423,HP,"0","0","0",
"233","0","5",H,"12164",1,309955.389154,2403405.740393,309975.124578,2403412.246441,1,309965.256866,2403408.993417,20.780174,1.252352,HV,"0","0","0",
"234","0","5",H,"12165",1,309975.124578,2403412.246441,309976.375874,2403375.493161,1,309975.750226,2403393.869801,36.774575,3.10756,HP,"0","0","0",
"237","0","5",H,"12185",1,310009.59533,2403466.750697,310065.405538,2403425.254025,1,310037.500434,2403446.002361,69.546769,2.210145,HO,"0","0","0",
"238","0","5",H,"12186",1,309975.124578,2403412.246441,309970.655906,2403470.751945,1,309972.890242,2403441.499193,58.675915,3.06536,HP,"0","0","0",
"239","0","5",H,"12187",1,309970.655906,2403470.751945,310009.59533,2403466.750697,1,309990.125618,2403468.751321,39.14446,1.673193,HV,"0","0","0",
"245","0","5",H,"12219",1,309968.029218,2403557.745193,309970.655906,2403470.751945,1,309969.342562,2403514.248569,87.032894,3.111408,HP,"0","0","0",
"246","0","5",H,"12220",1,309968.029218,2403557.745193,310010.873954,2403556.495241,1,309989.451586,2403557.120217,42.862965,1.599962,HV,"0","0","0",
"249","0","5",H,"12402",1,310058.758466,2402709.965864,310091.530114,2402708.506024,1,310075.14429,2402709.235944,32.804147,1.615313,HV,"0","0","0",
"250","0","5",H,"12403",1,309979.249538,2402875.249225,309999.406722,2402847.749705,1,309989.32813,2402861.499465,34.095977,2.50906,HO,"1","0","0",
"251","0","5",H,"12406",1,309939.031458,2403061.256425,310061.28077,2403049.500105,1,310000.156114,2403055.378265,122.813295,1.666668,HV,"0","0","0",
"252","0","5",H,"12410",1,310146.626626,2403193.480553,310155.095426,2403185.251689,1,310150.861026,2403189.366121,11.80825,2.341826,HO,"0","0","0",
"253","0","5",H,"12413",1,310083.677282,2403313.961001,310067.00061,2403290.753737,1,310075.338946,2403302.357369,28.577762,0.623098,HO,"1","0","0",
"254","0","5",H,"12414",1,309959.769666,2403318.850089,309999.97053,2403317.496777,1,309979.870098,2403318.173433,40.223636,1.604447,HV,"1","0","1",
"255","0","5",H,"12416",1,309927.811522,2403400.504169,309955.389154,2403405.740393,1,309941.600338,2403403.122281,28.070337,1.383158,HV,"0","0","0",
"257","0","5",H,"12422",1,310259.37357,2402762.748552,310320.668514,2402708.461416,1,310290.021042,2402735.604984,81.878955,2.295638,HO,"0","0","0",
"258","0","5",H,"12423",1,310340.820994,2402632.589864,310363.395074,2402628.57764,1,310352.108034,2402630.583752,22.927866,1.746695,HV,"1","0","0",
"263","0","5",H,"12455",0,310922.373827,2402686.24468,310893.031875,2402638.2442,0,310907.702851,2402662.24444,56.258299,0.548676,HO,"0","0","0",
"264","0","6",H,"11613",1,310968.531875,2402593.502792,310961.904355,2402572.245352,1,310965.218115,2402582.874072,22.266629,0.302223,HP,"1","0","0",
"265","0","6",H,"11614",1,310961.904355,2402572.245352,310948.718371,2402560.750792,1,310955.311363,2402566.498072,17.492715,0.853824,HO,"1","0","0",
"266","0","6",H,"11615",0,310948.718371,2402560.750792,310931.654883,2402533.003848,1,310940.186627,2402546.87732,32.573847,0.551353,HO,"1","0","0",
"268","0","6",H,"11685",1,311182.560707,2402731.247784,311262.625699,2402699.499656,1,311222.593203,2402715.37372,86.129824,1.948307,HO,"0","0","0",
"269","0","6",H,"11691",1,311094.562211,2402740.501544,311166.748259,2402702.249544,1,311130.655235,2402721.375544,81.694804,2.058083,HO,"0","0","0",
"270","0","6",H,"11692",1,311166.748259,2402702.249544,311182.560707,2402731.247784,1,311174.654483,2402716.748664,33.029251,0.49922,HO,"0","0","0",
"273","0","6",H,"11719",1,311203.501731,2402782.493,311182.560707,2402731.247784,1,311193.031219,2402756.870392,55.358817,0.387935,HO,"0","0","0",
"274","0","6",H,"11756",1,311158.938723,2402809.002984,311203.501731,2402782.493,1,311181.220227,2402795.747992,51.852106,2.107448,HO,"0","0","0",
"277","0","6",H,"11795",1,310996.606435,2402869.973065,311029.718179,2402880.748873,1,311013.162307,2402875.360969,34.821052,1.256169,HV,"1","0","0",
"278","0","6",H,"11796",1,311078.749987,2402883.499081,311080.688739,2402868.250665,1,311079.719363,2402875.874873,15.371173,3.015127,HP,"0","0","0",
"280","0","6",H,"11829",1,311236.404803,2402911.245993,311234.199267,2402947.420169,1,311235.302035,2402929.333081,36.241349,3.080698,HP,"1","0","0",
"282","0","6",H,"11862",1,311082.531171,2402899.504009,311108.875779,2402986.251209,1,311095.703475,2402942.877609,90.659335,0.294842,HP,"0","0","0",
"283","0","6",H,"11863",1,311108.875779,2402986.251209,311134.436515,2402979.747433,1,311121.656147,2402982.999321,26.375184,1.819953,HV,"1","0","1",
"284","0","6",H,"11899",1,311264.000707,2403034.746473,311291.500163,2403037.249161,1,311277.750435,2403035.997817,27.613104,1.480038,HV,"1","0","0",
"285","0","6",H,"11900",1,311325.654563,2403039.998985,311330.907075,2402900.755305,1,311328.280819,2402970.377145,139.342712,3.103889,HP,"0","0","0",
"286","0","6",H,"11901",1,311117.469411,2403032.753001,311155.968707,2403042.996297,1,311136.719059,2403037.874649,39.838686,1.310756,HV,"1","0","0",
"287","0","6",H,"11903",1,311206.031651,2403049.252713,311214.061443,2403027.005737,1,311210.046547,2403038.129225,23.651755,2.795206,HP,"0","0","0",
"288","0","6",H,"11906",1,311117.345667,2403054.243529,311117.469411,2403032.753001,1,311117.407539,2403043.498265,21.490884,3.135835,HP,"0","0","0",
"289","0","6",H,"11907",1,311169.374723,2403056.993513,311208.657891,2403055.756521,1,311189.016307,2403056.375017,39.302639,1.602275,HV,"1","0","0",
"290","0","6",H,"11921",1,310993.061379,2403045.746249,311050.562947,2403021.244073,1,311021.812163,2403033.495161,62.504295,1.973609,HO,"0","1","0",
"291","0","6",H,"11922",1,311050.562947,2403021.244073,311058.936515,2403056.003913,1,311054.749731,2403038.623993,35.754204,0.236394,HP,"0","0","0",
"292","0","6",H,"11923",1,311058.936515,2403056.003913,311080.688739,2403067.498505,1,311069.812627,2403061.751209,24.602538,1.084662,HO,"0","0","0",
"293","0","6",H,"11940",1,311321.625987,2403083.503465,311376.845091,2403078.250921,1,311349.235539,2403080.877193,55.468357,1.665633,HV,"1","0","0",
"296","0","6",H,"11962",1,311608.157507,2403130.500009,311658.000355,2403108.252969,1,311633.078931,2403119.376489,54.582417,1.990605,HO,"1","0","0",
"298","0","6",H,"11966",1,311080.688739,2403067.498505,311091.001059,2403136.247305,1,311085.844899,2403101.872905,69.517922,0.14889,HP,"0","0","0",
"299","0","6",H,"11974",1,311408.373219,2403139.753737,311463.592131,2403139.754185,1,311435.982675,2403139.753961,55.218912,1.570788,HV,"0","0","0",
"300","0","6",H,"11980",1,311091.001059,2403136.247305,311096.624675,2403147.494505,1,311093.812867,2403141.870905,12.574759,0.463649,HO,"0","0","0",
"301","0","6",H,"11981",1,311096.624675,2403147.494505,311137.186467,2403136.247305,1,311116.905571,2403141.870905,42.092261,1.841286,HV,"0","0","0",
"302","0","6",H,"12001",1,311408.373219,2403139.753737,311409.748195,2403166.249385,1,311409.060707,2403153.001561,26.531301,0.051848,HP,"0","0","0",
"303","0","6",H,"12004",1,311208.657923,2403191.246345,311240.282339,2403190.998953,1,311224.470131,2403191.122649,31.625384,1.578619,HV,"1","0","0",
"304","0","6",H,"12028",1,311315.094883,2403235.754697,311312.592323,2403083.503465,1,311313.843603,2403159.629081,152.271798,0.016436,HP,"1","0","0",
"305","0","6",H,"12033",1,311219.217635,2403219.997161,311231.001251,2403230.749577,1,311225.109443,2403225.373369,15.952055,0.831124,HO,"1","0","0",
"306","0","6",H,"12034",1,311231.001251,2403230.749577,311245.562211,2403236.002121,1,311238.281731,2403233.375849,15.479366,1.224597,HV,"1","0","0",
"307","0","6",H,"12035",1,311245.562211,2403236.002121,311240.282339,2403190.998953,1,311242.922275,2403213.500537,45.311833,0.116788,HP,"1","0","0",
"308","0","6",H,"12049",1,311245.562211,2403236.002121,311259.875747,2403240.992905,1,311252.718979,2403238.497513,15.158669,1.235302,HV,"1","0","0",
"309","0","6",H,"12050",1,311259.875747,2403240.992905,311275.811683,2403242.505897,1,311267.843715,2403241.749401,16.007598,1.476138,HV,"1","0","0",
"310","0","6",H,"12051",1,311275.811683,2403242.505897,311298.031363,2403239.755945,1,311286.921523,2403241.130921,22.389203,1.693932,HV,"1","0","0",
"311","0","6",H,"12052",1,311298.031363,2403239.755945,311308.466691,2403234.505097,1,311303.249027,2403237.130521,11.681929,2.036985,HO,"1","0","0",
"312","0","6",H,"12063",1,311451.781283,2403234.503433,311446.405059,2403210.743401,1,311449.093171,2403222.623417,24.360684,0.222525,HP,"1","0","1",
"313","0","6",H,"12065",1,310925.000067,2403267.503241,310920.311331,2403238.242953,1,310922.655699,2403252.873097,29.633574,0.158892,HP,"0","1","0",
"314","0","6",H,"12069",1,310953.310787,2403250.494025,310971.281795,2403284.249961,1,310962.296291,2403267.371993,38.241605,0.489215,HO,"0","0","0",
"315","0","6",H,"12070",1,310971.281795,2403284.249961,310995.811331,2403274.748841,1,310983.546563,2403279.499401,26.305312,1.940336,HO,"0","0","0",
"316","0","6",H,"12091",1,311408.373219,2403323.753161,311417.626947,2403254.000489,1,311413.000083,2403288.876825,70.363817,3.009698,HP,"1","0","0",
"317","0","6",H,"12092",1,311126.626755,2403325.004457,311150.345091,2403247.496713,1,311138.485923,2403286.250585,81.055597,2.844629,HP,"1","0","0",
"318","0","6",H,"12106",1,311060.751619,2403333.501705,311088.031075,2403325.994057,1,311074.391347,2403329.747881,28.293701,1.83936,HV,"0","0","0",
"319","0","6",H,"12107",1,311088.031075,2403325.994057,311126.626755,2403325.004457,1,311107.328915,2403325.499257,38.608365,1.596431,HV,"1","0","0",
"320","0","6",H,"12124",1,310947.563651,2403320.246281,310991.906435,2403358.004265,1,310969.735043,2403339.125273,58.240431,0.865431,HO,"0","1","0",
"321","0","6",H,"12125",1,310991.906435,2403358.004265,311023.063459,2403345.752809,1,311007.484947,2403351.878537,33.479222,1.945441,HO,"0","1","0",
"322","0","6",H,"12132",1,311112.560611,2403369.251049,311118.280579,2403349.506665,1,311115.420595,2403359.378857,20.556233,2.859611,HP,"1","0","0",
"323","0","6",H,"12133",1,311118.280579,2403349.506665,311114.499395,2403348.750153,1,311116.389987,2403349.128409,3.85612,1.373331,HV,"1","0","0",
"324","0","6",H,"12134",1,311114.499395,2403348.750153,311115.406883,2403343.745001,1,311114.953139,2403346.247577,5.086755,2.96223,HP,"1","0","0",
"325","0","6",H,"12135",1,311115.406883,2403343.745001,311121.126851,2403344.748905,1,311118.266867,2403344.246953,5.807397,1.397057,HV,"1","0","0",
"326","0","6",H,"12136",1,311121.126851,2403344.748905,311126.626755,2403325.004457,1,311123.876803,2403334.876681,20.49615,2.869925,HP,"1","0","0",
"327","0","6",H,"12147",1,311378.123715,2403370.997161,311431.967843,2403380.250889,1,311405.045779,2403375.624025,54.633521,1.400598,HV,"0","0","0",
"328","0","6",H,"12154",1,310991.906435,2403358.004265,311032.468259,2403389.242921,1,311012.187347,2403373.623593,51.196828,0.914524,HO,"0","1","0",
"329","0","6",H,"12157",1,311349.249251,2403381.749545,311353.126723,2403366.995945,1,311351.187987,2403374.372745,15.254622,2.884589,HP,"1","0","0",
"330","0","6",H,"12216",1,311030.625827,2403519.247209,311070.156387,2403519.247209,1,311050.391107,2403519.247209,39.53056,1.570796,HV,"1","0","0",
"331","0","6",H,"12442",1,310949.405827,2403373.993705,310962.591555,2403405.000649,1,310955.998691,2403389.497177,33.694124,0.402083,HO,"0","0","0",
"332","0","6",H,"12446",1,310959.030755,2402812.756808,310966.689411,2402813.746376,1,310962.860083,2402813.251592,7.722322,1.442299,HV,"1","0","0",
"333","0","6",H,"12447",1,310966.689411,2402813.746376,310971.405507,2402819.24628,1,310969.047459,2402816.496328,7.245033,0.708825,HO,"1","0","0",
"334","0","6",H,"12448",1,310971.405507,2402819.24628,310978.844131,2402839.252457,1,310975.124819,2402829.249368,21.344326,0.355977,HO,"1","0","0",
"335","0","6",H,"12452",1,311038.188195,2402946.747977,311051.374179,2402968.500201,1,311044.781187,2402957.624089,25.436773,0.544959,HO,"1","0","0",
"336","0","6",H,"12453",1,310951.592035,2402737.25684,310929.936163,2402707.996936,1,310940.764099,2402722.626888,36.402181,0.637149,HO,"0","0","0",
"337","0","6",H,"12454",1,310929.936163,2402707.996936,310922.373827,2402686.24468,1,310926.154995,2402697.120808,23.02932,0.334586,HP,"0","0","0",
"338","0","6",H,"12458",1,311224.593859,2402813.990632,311203.501731,2402782.493,1,311214.047795,2402798.241816,37.907502,0.590059,HO,"0","0","0",
"339","0","6",H,"12459",1,311174.654595,2402841.493321,311224.593859,2402813.990632,1,311199.624227,2402827.741977,57.011648,2.074194,HO,"0","0","0",
