,row,col,type,id,bool1,X1,Y1,X2,Y2,bool2,XG,YG,Lng,Ang,typeH,proche route,proche canal,perp route,perp canal,paral route,paral canal
4597,9,3,H,3587,1.0,308085.3016,2393732.656896,308089.6872,2393745.002464,1.0,308087.4944,2393738.82968,13.101394,0.341332,HP,1,0,0,0,1,0
4598,9,3,H,3588,1.0,308089.6872,2393745.002464,308092.657216,2393782.250464,1.0,308091.172208,2393763.626464,37.366221,0.079568,HP,1,0,0,0,1,0
4626,9,3,H,3884,0.0,308918.124705,2394011.748256,308933.591489,2393992.487264,0.0,308925.858097,2394002.11776,24.702373,2.465019,HO,1,0,0,0,1,0
4627,9,3,H,3890,0.0,308920.310401,2394013.207424,308936.682241,2393993.63088,0.0,308928.496321,2394003.419152,25.520153,2.445107,HO,1,0,0,0,1,0
4631,9,3,H,3902,1.0,308913.188545,2394025.250176,308918.124705,2394011.748256,1.0,308915.656625,2394018.499216,14.375935,2.791098,HO,1,0,0,0,1,0
4633,9,3,H,3904,1.0,308915.472609,2394027.671264,308920.310401,2394013.207424,1.0,308917.891505,2394020.439344,15.251456,2.818815,HP,1,0,0,0,1,0
4641,9,3,H,3970,1.0,307987.498848,2394083.755648,308006.157408,2394017.247712,1.0,307996.828128,2394050.50168,69.075664,2.868077,HP,1,0,0,0,1,0
4647,9,3,H,3984,1.0,308023.591968,2394085.006976,307988.873824,2394091.001664,1.0,308006.232896,2394088.00432,35.231886,1.741778,HV,1,0,0,0,1,0
4649,9,3,H,4002,1.0,308178.474816,2394059.163488,308182.599264,2394080.014784,1.0,308180.53704,2394069.589136,21.255296,0.195282,HP,1,0,0,0,1,0
4650,9,3,H,4003,1.0,308182.599264,2394080.014784,308191.756416,2394101.541696,1.0,308187.17784,2394090.77824,23.393618,0.402194,HO,1,0,0,0,1,0
4651,9,3,H,4012,1.0,308176.31072,2394059.006112,308180.65568,2394080.49664,1.0,308178.4832,2394069.751376,21.925361,0.199491,HP,1,0,0,0,1,0
4654,9,3,H,4051,1.0,308591.2792,2394143.278976,308607.407392,2394130.752256,1.0,308599.343296,2394137.015616,20.421491,2.231166,HO,1,0,0,0,1,0
4655,9,3,H,4052,1.0,308027.813248,2394141.242976,308081.216928,2394144.255712,1.0,308054.515088,2394142.749344,53.488593,1.514442,HV,1,0,0,0,1,0
