,row,col,type,id,bool1,X1,Y1,X2,Y2,bool2,XG,YG,Lng,Ang,typeH,proche route,proche canal,perp route,perp canal,paral route,paral canal
5461,10,4,H,2476,1.0,309358.062337,2392649.750559,309381.780705,2392652.500511,1.0,309369.921521,2392651.125535,23.877253,1.45537,HV,1,0,0,0,1,0
5462,10,4,H,2477,1.0,309381.780705,2392652.500511,309419.001409,2392664.504223,1.0,309400.391057,2392658.502367,39.108438,1.258826,HV,1,0,0,0,1,0
5463,10,4,H,2557,1.0,309481.342785,2392686.751231,309582.376769,2392725.250847,1.0,309531.859777,2392706.001039,108.120703,1.206727,HO,1,0,0,0,1,0
5477,10,4,H,2650,1.0,309459.563169,2392801.754463,309472.061697,2392796.749343,1.0,309465.812433,2392799.251903,13.463448,1.951696,HO,1,0,0,0,1,0
5478,10,4,H,2686,1.0,309388.188161,2392841.752447,309427.031201,2392819.243711,1.0,309407.609681,2392830.498079,44.893485,2.09599,HO,1,0,0,0,1,0
5479,10,4,H,2700,1.0,309223.218337,2392859.503455,309221.843361,2392843.251103,1.0,309222.530849,2392851.377279,16.310411,0.084401,HP,1,0,0,0,1,0
5480,10,4,H,2744,1.0,309234.341857,2392900.752735,309249.438977,2392930.754143,1.0,309241.890417,2392915.753439,33.585823,0.466215,HO,1,0,0,0,1,0
5488,10,4,H,2868,1.0,309321.969249,2393086.993023,309336.970273,2393133.247423,1.0,309329.469761,2393110.120223,48.626127,0.313613,HP,1,0,0,0,1,0
5497,10,4,H,3023,1.0,309494.968865,2393290.751168,309507.563649,2393260.996512,1.0,309501.266257,2393275.87384,32.310496,2.741173,HO,1,0,0,0,1,0
5501,10,4,H,3073,1.0,309209.124833,2393352.50144,309249.562849,2393356.502144,1.0,309229.343841,2393354.501792,40.635437,1.472183,HV,1,0,0,0,1,0
5502,10,4,H,3074,1.0,309249.562849,2393356.502144,309260.685665,2393362.740928,1.0,309255.124257,2393359.621536,12.753018,1.059623,HO,1,0,0,0,1,0
5503,10,4,H,3075,1.0,309260.685665,2393362.740928,309278.904865,2393362.744736,1.0,309269.795265,2393362.742832,18.2192,1.570587,HV,1,0,0,0,1,0
5506,10,4,H,3082,1.0,309278.904865,2393362.744736,309308.466881,2393368.244672,1.0,309293.685873,2393365.494704,30.069288,1.386852,HV,1,0,0,0,1,0
5509,10,4,H,3090,1.0,309212.218497,2393364.505152,309239.374273,2393365.4944,1.0,309225.796385,2393364.999776,27.173789,1.534384,HV,1,0,0,0,1,0
5515,10,4,H,3113,1.0,309122.061249,2393386.752128,309142.562177,2393381.994432,1.0,309132.311713,2393384.37328,21.045753,1.798832,HV,1,0,0,0,1,0
5518,10,4,H,3215,1.0,309497.830145,2393348.398144,309502.874913,2393371.751584,1.0,309500.352529,2393360.074864,23.892108,0.212749,HP,1,0,0,0,1,0
5526,10,4,H,3248,1.0,309531.282241,2393518.503232,309514.218497,2393494.000256,1.0,309522.750369,2393506.251744,29.859122,0.608302,HO,1,0,0,0,1,0
5527,10,4,H,3249,1.0,309514.218497,2393494.000256,309508.498753,2393473.994976,1.0,309511.358625,2393483.997616,20.806891,0.278482,HP,1,0,0,0,1,0
5528,10,4,H,3250,1.0,309506.197313,2393474.166816,309511.696321,2393494.460512,1.0,309508.946817,2393484.313664,21.025537,0.264617,HP,1,0,0,0,1,0
5529,10,4,H,3251,1.0,309511.696321,2393494.460512,309528.974433,2393519.168384,1.0,309520.335377,2393506.814448,30.149827,0.610253,HO,1,0,0,0,1,0
5532,10,4,H,3299,1.0,309046.657601,2393548.999328,309053.532481,2393489.751648,1.0,309050.095041,2393519.375488,59.645214,3.026073,HP,1,0,0,0,1,0
5534,10,4,H,3401,1.0,309382.591905,2393588.74992,309346.718817,2393592.503776,1.0,309364.655361,2393590.626848,36.06896,1.67506,HV,1,0,0,0,1,0
5539,10,4,H,3435,1.0,309399.649345,2393594.363296,309408.471041,2393584.052224,1.0,309404.060193,2393589.20776,13.569839,2.433882,HO,1,0,0,0,1,0
5540,10,4,H,3436,1.0,309408.471041,2393584.052224,309421.760865,2393574.772288,1.0,309415.115953,2393579.412256,16.209153,2.180363,HO,1,0,0,0,1,0
5543,10,4,H,14201,1.0,309111.501537,2393415.997728,309129.032481,2393397.751936,1.0,309120.267009,2393406.874832,25.303022,2.376173,HO,1,0,0,0,1,0
5553,11,0,H,1507,1.0,305545.374526,2391678.755678,305583.53011,2391664.249406,1.0,305564.452318,2391671.502542,40.820099,1.934107,HO,1,0,0,0,1,0
5554,11,0,H,1508,0.0,305583.53011,2391664.249406,305602.532222,2391646.74643,1.0,305593.031166,2391655.497918,25.834752,2.315151,HO,1,0,0,0,1,0
5556,11,0,H,1580,1.0,305412.701885,2391753.035166,305419.346813,2391754.295422,1.0,305416.024349,2391753.665294,6.76338,1.383366,HV,1,0,0,0,1,0
5557,11,0,H,1581,1.0,305419.346813,2391754.295422,305438.937853,2391752.462334,1.0,305429.142333,2391753.378878,19.676612,1.664092,HV,1,0,0,0,1,0
5558,11,0,H,1584,1.0,305416.255677,2391755.773182,305420.155485,2391756.497214,1.0,305418.205581,2391756.135198,3.96645,1.387228,HV,1,0,0,0,1,0
5559,11,0,H,1585,1.0,305420.155485,2391756.497214,305439.061213,2391754.75043,1.0,305429.608349,2391755.623822,18.986253,1.662929,HV,1,0,0,0,1,0
5560,11,0,H,1725,1.0,305435.042557,2391906.211838,305424.731453,2391936.22851,1.0,305429.887005,2391921.220174,31.738296,2.810709,HP,1,0,0,0,1,0
5562,11,0,H,1750,1.0,304953.405917,2391931.253246,304942.406013,2391937.499262,1.0,304947.905965,2391934.376254,12.64953,2.087221,HO,1,0,0,0,1,0
5563,11,0,H,1751,1.0,304942.406013,2391937.499262,304920.062429,2391944.249854,1.0,304931.234221,2391940.874558,23.341085,1.864203,HV,1,0,0,0,1,0
5565,11,0,H,1753,1.0,304921.657117,2391950.504638,304943.904477,2391944.002398,1.0,304932.780797,2391947.253518,23.178096,1.855147,HV,1,0,0,0,1,0
5566,11,0,H,1754,1.0,304943.904477,2391944.002398,304955.000605,2391937.745982,1.0,304949.452541,2391940.87419,12.738399,2.084201,HO,1,0,0,0,1,0
