,row,col,type,id,bool1,X1,Y1,X2,Y2,bool2,XG,YG,Lng,Ang,typeH,proche route,proche canal,perp route,perp canal,paral route,paral canal
1761,4,8,H,9365,1.0,313068.099237,2399168.299173,313089.411461,2399172.817413,1.0,313078.755349,2399170.558293,21.785899,1.361887,HV,0,1,0,1,0,0
1763,4,8,H,9369,1.0,313474.928293,2399147.677029,313498.015813,2399162.639109,1.0,313486.472053,2399155.158069,27.511769,0.995787,HO,0,1,0,1,0,0
1764,4,8,H,9379,1.0,312978.622084,2399166.236965,312996.949476,2399176.595909,1.0,312987.78578,2399171.416437,21.05234,1.056346,HO,1,1,1,1,0,0
1765,4,8,H,9380,1.0,312996.949476,2399176.595909,313015.971076,2399171.621605,1.0,313006.460276,2399174.108757,19.661255,1.826577,HV,1,1,0,1,1,0
1767,4,8,H,9391,1.0,313089.411461,2399172.817413,313103.500581,2399195.566213,1.0,313096.456021,2399184.191813,26.758386,0.554515,HO,0,1,0,1,0,0
1770,4,8,H,9420,1.0,312977.476388,2399164.747557,312967.85274,2399151.801445,1.0,312972.664564,2399158.274501,16.131225,0.639239,HO,1,1,1,1,0,0
1792,4,9,H,9174,1.0,313888.881381,2398908.788901,313933.312517,2398899.502981,1.0,313911.096949,2398904.145941,45.391124,1.776827,HV,0,1,0,1,0,0
1795,4,9,H,9261,1.0,313877.835077,2399049.732037,313892.297509,2399036.661157,1.0,313885.066293,2399043.196597,19.493841,2.305697,HO,0,1,0,1,0,0
1905,5,5,H,8403,1.0,310076.766914,2397741.52538,310131.50077,2397715.00138,1.0,310104.133842,2397728.26338,60.822015,2.022048,HO,0,1,0,1,0,0
1907,5,5,H,8443,1.0,310088.659234,2397795.326916,310087.283202,2397794.749924,1.0,310087.971218,2397795.03842,1.492107,1.17375,HO,0,1,0,1,0,0
1911,5,5,H,8447,1.0,310085.335586,2397751.55802,310075.024482,2397742.507172,1.0,310080.180034,2397747.032596,13.719939,0.850396,HO,0,1,0,1,0,0
1948,5,5,H,8851,1.0,310283.767522,2398348.458436,310309.87661,2398341.000932,1.0,310296.822066,2398344.729684,27.153247,1.849017,HV,0,1,0,1,0,0
1976,5,6,H,8407,1.0,311256.100387,2397671.933636,311242.352291,2397663.34106,1.0,311249.226339,2397667.637348,16.212418,1.012196,HO,0,1,0,1,0,0
1977,5,6,H,8408,1.0,311242.352291,2397663.34106,311221.844707,2397671.01706,1.0,311232.098499,2397667.17906,21.897077,1.928954,HO,0,1,0,1,0,0
1978,5,6,H,8409,1.0,311221.844707,2397671.01706,311207.180067,2397669.642276,1.0,311214.512387,2397670.329668,14.728941,1.477321,HV,0,1,0,1,0,0
2001,5,6,H,8584,1.0,311536.415555,2397981.462724,311552.250915,2397965.494436,1.0,311544.333235,2397973.47858,22.488772,2.360374,HO,0,1,0,1,0,0
2003,5,6,H,8590,1.0,311629.593347,2397984.7441,311630.844579,2397992.993956,1.0,311630.218963,2397988.869028,8.344202,0.15052,HP,0,1,0,1,0,0
2008,5,6,H,8598,1.0,311602.821859,2397997.907556,311611.718627,2397985.747972,1.0,311607.270243,2397991.827764,15.066783,2.509928,HO,0,1,0,1,0,0
2048,5,7,H,8307,1.0,312476.47498,2397602.000548,312506.041252,2397602.00138,1.0,312491.258116,2397602.000964,29.566272,1.570768,HV,0,1,0,1,0,0
2067,5,7,H,8454,1.0,312444.625444,2397801.430692,312491.250276,2397798.503844,1.0,312467.93786,2397799.967268,46.716607,1.633489,HV,0,1,0,1,0,0
2070,5,7,H,8462,1.0,312421.937668,2397807.001092,312442.675076,2397801.733412,1.0,312432.306372,2397804.367252,21.395994,1.819553,HV,0,1,0,1,0,0
2086,5,7,H,8789,1.0,311913.154819,2398243.006564,311927.812131,2398265.00618,1.0,311920.483475,2398254.006372,26.435202,0.587716,HO,1,1,1,1,0,0
2088,5,7,H,8811,1.0,311913.154819,2398243.006564,311898.373443,2398289.492196,1.0,311905.764131,2398266.24938,48.779125,2.833726,HP,1,1,0,1,1,0
2108,5,8,H,8422,1.0,313512.914085,2397746.685476,313581.249637,2397743.999556,1.0,313547.081861,2397745.342516,68.388316,1.610081,HV,0,1,0,1,0,0
2109,5,8,H,8458,1.0,313538.653061,2397802.544708,313589.375781,2397791.752612,1.0,313564.014421,2397797.14866,51.858111,1.780437,HV,0,1,0,1,0,0
2111,5,8,H,8470,1.0,313548.261925,2397835.009604,313596.250693,2397824.24298,1.0,313572.256309,2397829.626292,49.181725,1.791499,HV,0,1,0,1,0,0
2114,5,8,H,8483,1.0,313561.643557,2397862.200164,313601.626853,2397848.745156,1.0,313581.635205,2397855.47266,42.186505,1.895408,HV,1,1,1,1,0,0
2122,5,8,H,8506,1.0,313567.255589,2397894.914404,313607.030149,2397876.243044,1.0,313587.142869,2397885.578724,43.938995,2.00969,HO,1,1,1,1,0,0
2135,5,8,H,8672,1.0,313549.968901,2398079.246372,313586.972453,2398076.331588,1.0,313568.470677,2398077.78898,37.118174,1.649404,HV,1,1,0,1,1,0
