field_1,row,col,type,id,bool1,X1,Y1,X2,Y2,bool2,XG,YG,Lng,Ang,typeH,proche route,proche canal,perp route,perp canal
"679","1","7",H,"10947",1,312016.7137,2401702.187591,312008.433572,2401702.168583,1,312012.573636,2401702.178087,8.28015,1.568501,HV,"0","1","0",
"680","1","7",H,"10952",1,312139.085348,2401716.722631,312124.56842,2401715.258375,1,312131.826884,2401715.990503,14.590588,1.470271,HV,"0","1","0",
"684","1","7",H,"11015",1,312162.561924,2401834.254248,312162.685636,2401811.745544,1,312162.62378,2401822.999896,22.509044,3.136097,HP,"1","0","0",
"685","1","7",H,"11017",1,312316.256644,2401779.839048,312327.764356,2401783.530472,1,312322.0105,2401781.68476,12.085282,1.260388,HV,"0","1","0",
"686","1","7",H,"11018",1,312327.764356,2401783.530472,312332.117924,2401791.550184,1,312329.94114,2401787.540328,9.125203,0.497344,HO,"0","1","0",
"766","1","7",H,"12752",1,312163.936932,2401840.74372,312205.21066,2401848.2666,1,312184.573796,2401844.50516,41.953717,1.390507,HV,"1","0","0",
"854","2","4",H,"10219",1,309585.249857,2400662.498502,309582.499905,2400607.49959,1,309583.874881,2400634.999046,55.067618,0.049959,HP,"1","0","0",
"855","2","4",H,"10235",1,309324.448897,2400681.295751,309303.063297,2400630.997766,1,309313.756097,2400656.146759,54.655569,0.402021,HO,"0","0","0",
"856","2","4",H,"10243",1,309296.653217,2400686.547079,309324.448897,2400681.295751,1,309310.551057,2400683.921415,28.287387,1.757522,HV,"0","1","0",
"857","2","4",H,"10246",1,309144.622177,2400697.889255,309193.363521,2400677.708646,1,309168.992849,2400687.79895,52.753915,1.963343,HO,"1","1","1",
"859","2","4",H,"10298",1,309275.563777,2400764.494151,309307.537089,2400764.494151,1,309291.550433,2400764.494151,31.973312,1.570796,HV,"1","0","0",
"860","2","4",H,"10299",1,309307.537089,2400764.494151,309292.643329,2400691.931719,1,309300.090209,2400728.212935,74.075169,0.202443,HP,"0","0","0",
"861","2","4",H,"10343",1,309708.970337,2400882.756391,309696.155457,2400852.245191,1,309702.562897,2400867.500791,33.093118,0.397633,HO,"1","0","0",
"862","2","4",H,"10364",1,309648.498721,2400870.505319,309656.748577,2400899.256103,1,309652.623649,2400884.880711,29.910996,0.279436,HP,"1","0","0",
"863","2","4",H,"10396",0,309947.969186,2400906.860263,309882.43741,2400947.504167,0,309915.203298,2400927.182215,77.112519,2.125949,HO,"0","0","0",
"864","2","4",H,"10435",1,309844.06173,2400980.750791,309853.74813,2401009.528423,1,309848.90493,2400995.139607,30.364098,0.324683,HP,"0","0","0",
"865","2","4",H,"10444",1,309360.145473,2401012.487047,309367.687233,2401011.000295,1,309363.916353,2401011.743671,7.686909,1.765436,HV,"1","0","0",
"866","2","4",H,"10466",0,309900.78557,2400976.045639,309959.326786,2401061.744935,0,309930.056178,2401018.895287,103.785564,0.599294,HO,"0","0","0",
"867","2","4",H,"10480",1,309604.623169,2401035.997223,309607.716865,2401075.747847,1,309606.170017,2401055.872535,39.87083,0.077671,HP,"0","0","0",
"868","2","4",H,"10482",1,309854.415042,2401011.545799,309876.578978,2401077.456167,1,309865.49701,2401044.500983,69.53716,0.324395,HP,"1","0","0",
"869","2","4",H,"10485",1,309753.548193,2401088.678855,309820.111906,2401079.628007,1,309786.830049,2401084.153431,67.176229,1.70594,HV,"1","0","0",
"870","2","4",H,"10486",1,309820.111906,2401079.628007,309850.47229,2401085.012711,1,309835.292098,2401082.320359,30.834201,1.395262,HV,"1","0","0",
"871","2","4",H,"10487",1,309850.47229,2401085.012711,309876.578978,2401077.456167,1,309863.525634,2401081.234439,27.17831,1.852545,HV,"1","0","0",
"872","2","4",H,"10491",1,309720.318881,2401093.262919,309749.538337,2401089.251655,1,309734.928609,2401091.257287,29.493505,1.707224,HV,"1","0","0",
"873","2","4",H,"10493",1,309745.646721,2401094.778215,309820.343426,2401084.754183,1,309782.995073,2401089.766199,75.366299,1.704196,HV,"1","0","0",
"874","2","4",H,"10497",1,309721.688865,2401097.994887,309741.632865,2401095.321543,1,309731.660865,2401096.658215,20.122373,1.704045,HV,"1","0","0",
"875","2","4",H,"10535",1,309561.751553,2401141.499335,309551.095489,2401100.250023,1,309556.423521,2401120.874679,42.603491,0.252806,HP,"0","0","0",
"876","2","4",H,"10536",1,309551.095489,2401100.250023,309572.531297,2401097.252711,1,309561.813393,2401098.751367,21.644347,1.709723,HV,"0","0","0",
"877","2","4",H,"10537",1,309572.531297,2401097.252711,309566.343873,2401039.256295,1,309569.437585,2401068.254503,58.325539,0.106284,HP,"0","0","0",
"878","2","4",H,"10539",1,309534.279361,2401144.496647,309561.751553,2401141.499335,1,309548.015457,2401142.997991,27.635217,1.67947,HV,"0","0","0",
"879","2","4",H,"10576",1,309561.751553,2401141.499335,309581.688705,2401194.999687,1,309571.720129,2401168.249511,57.094463,0.356713,HO,"0","0","0",
"880","2","4",H,"10577",1,309581.688705,2401194.999687,309616.750753,2401185.744711,1,309599.219729,2401190.372199,36.262953,1.82887,HV,"0","0","0",
"881","2","4",H,"10615",1,309581.688705,2401194.999687,309584.782369,2401211.746823,1,309583.235537,2401203.373255,17.030482,0.182669,HP,"0","0","0",
"902","2","4",H,"12659",1,309510.904129,2401227.276807,309511.468577,2401145.995335,1,309511.186353,2401186.636071,81.283432,3.134648,HP,"0","0","0",
"903","2","4",H,"12851",1,309137.985857,2401012.071815,309137.985473,2401013.293447,1,309137.985665,2401012.682631,1.221632,3.141278,HP,"1","0","0",
"904","2","4",H,"12855",1,309791.592609,2400813.993255,309857.124002,2400881.999911,1,309824.358306,2400847.996583,94.44188,0.766864,HO,"0","0","0",
"911","2","5",H,"10318",1,309956.44717,2400802.718503,309956.44717,2400811.311047,1,309956.44717,2400807.014775,8.592544,0,HP,"1","1","0",
"912","2","5",H,"10319",1,309956.44717,2400811.311047,309955.072578,2400821.975143,1,309955.759874,2400816.643095,10.752323,3.0134,HP,"1","1","1",
