,row,col,type,id,bool1,X1,Y1,X2,Y2,bool2,XG,YG,Lng,Ang,typeH,proche route,proche canal,perp route,perp canal,paral route,paral canal
1768,4,8,H,9397,1.0,313439.310693,2399206.246373,313498.015813,2399162.639109,1.0,313468.663253,2399184.442741,73.129232,2.209686,HO,0,1,0,1,0,0
1770,4,8,H,9420,1.0,312977.476388,2399164.747557,312967.85274,2399151.801445,1.0,312972.664564,2399158.274501,16.131225,0.639239,HO,1,1,1,1,0,0
1795,4,9,H,9261,1.0,313877.835077,2399049.732037,313892.297509,2399036.661157,1.0,313885.066293,2399043.196597,19.493841,2.305697,HO,0,1,0,1,0,0
1905,5,5,H,8403,1.0,310076.766914,2397741.52538,310131.50077,2397715.00138,1.0,310104.133842,2397728.26338,60.822015,2.022048,HO,0,1,0,1,0,0
1907,5,5,H,8443,1.0,310088.659234,2397795.326916,310087.283202,2397794.749924,1.0,310087.971218,2397795.03842,1.492107,1.17375,HO,0,1,0,1,0,0
1911,5,5,H,8447,1.0,310085.335586,2397751.55802,310075.024482,2397742.507172,1.0,310080.180034,2397747.032596,13.719939,0.850396,HO,0,1,0,1,0,0
1977,5,6,H,8408,1.0,311242.352291,2397663.34106,311221.844707,2397671.01706,1.0,311232.098499,2397667.17906,21.897077,1.928954,HO,0,1,0,1,0,0
1978,5,6,H,8409,1.0,311221.844707,2397671.01706,311207.180067,2397669.642276,1.0,311214.512387,2397670.329668,14.728941,1.477321,HV,0,1,0,1,0,0
2001,5,6,H,8584,1.0,311536.415555,2397981.462724,311552.250915,2397965.494436,1.0,311544.333235,2397973.47858,22.488772,2.360374,HO,0,1,0,1,0,0
2008,5,6,H,8598,1.0,311602.821859,2397997.907556,311611.718627,2397985.747972,1.0,311607.270243,2397991.827764,15.066783,2.509928,HO,0,1,0,1,0,0
2009,5,6,H,8599,1.0,311611.718627,2397985.747972,311629.593347,2397984.7441,1.0,311620.655987,2397985.246036,17.902887,1.626899,HV,0,1,0,1,0,0
2048,5,7,H,8307,1.0,312476.47498,2397602.000548,312506.041252,2397602.00138,1.0,312491.258116,2397602.000964,29.566272,1.570768,HV,0,1,0,1,0,0
2067,5,7,H,8454,1.0,312444.625444,2397801.430692,312491.250276,2397798.503844,1.0,312467.93786,2397799.967268,46.716607,1.633489,HV,0,1,0,1,0,0
2086,5,7,H,8789,1.0,311913.154819,2398243.006564,311927.812131,2398265.00618,1.0,311920.483475,2398254.006372,26.435202,0.587716,HO,1,1,1,1,0,0
2212,6,2,H,7386,1.0,307120.700127,2396760.478339,307153.657823,2396740.252643,1.0,307137.178975,2396750.365491,38.66896,2.121219,HO,0,1,0,1,0,0
2242,6,2,H,8282,1.0,307462.656415,2397534.755812,307462.532703,2397520.24954,1.0,307462.594559,2397527.502676,14.5068,0.008528,HP,0,1,0,1,0,0
2246,6,2,H,13334,1.0,307245.117087,2397168.128675,307279.068575,2397155.519299,1.0,307262.092831,2397161.823987,36.217398,1.926402,HO,0,1,0,1,0,0
2281,6,3,H,7507,1.0,308149.8424,2396840.997027,308163.308992,2396830.065763,1.0,308156.575696,2396835.531395,17.344787,2.25265,HO,1,1,1,1,0,0
2319,6,3,H,14731,1.0,308344.497536,2397005.835683,308334.898821,2396955.134613,1.0,308339.698178,2396980.485148,51.601684,0.187105,HP,0,1,0,1,0,0
2331,6,4,H,7333,1.0,309194.343809,2396703.994147,309250.342209,2396712.347619,1.0,309222.343009,2396708.170883,56.61803,1.422715,HV,0,1,0,1,0,0
2340,6,4,H,7515,1.0,309141.751297,2396863.242179,309170.743553,2396871.107107,1.0,309156.247425,2396867.174643,30.040107,1.305895,HV,1,1,1,1,0,0
2344,6,4,H,7541,1.0,309374.504577,2396908.310179,309409.156545,2396890.248739,1.0,309391.830561,2396899.279459,39.076521,2.051279,HO,0,1,0,1,0,0
2351,6,4,H,7618,1.0,309392.591681,2396964.268835,309399.534785,2396953.939363,1.0,309396.063233,2396959.104099,12.446071,2.549794,HO,0,1,0,1,0,0
2352,6,4,H,7619,1.0,309399.534785,2396953.939363,309398.159937,2396940.649539,1.0,309398.847361,2396947.294451,13.36075,0.103084,HP,0,1,0,1,0,0
2354,6,4,H,7625,1.0,309372.600129,2396908.750467,309325.186625,2396908.756259,1.0,309348.893377,2396908.753363,47.413504,1.570918,HV,0,1,0,1,0,0
2365,6,4,H,7642,1.0,309202.363297,2396969.944035,309261.126529,2396968.498691,1.0,309231.744913,2396969.221363,58.781004,1.595387,HV,0,1,0,1,0,0
2367,6,4,H,7644,1.0,309183.689697,2396934.921187,309153.558433,2396916.246691,1.0,309168.624065,2396925.583939,35.448976,1.015966,HO,0,1,0,1,0,0
2371,6,4,H,7750,1.0,309199.623393,2397039.750051,309246.243521,2397051.321699,1.0,309222.933457,2397045.535875,48.034773,1.327502,HV,0,1,0,1,0,0
2380,6,4,H,7852,1.0,309385.328417,2397155.921827,309408.241889,2397165.430915,1.0,309396.785153,2397160.676371,24.808264,1.177426,HO,0,1,0,1,0,0
2381,6,4,H,7853,1.0,309408.241889,2397165.430915,309415.917921,2397164.056067,1.0,309412.079905,2397164.743491,7.798184,1.748026,HV,0,1,0,1,0,0
2384,6,4,H,7856,1.0,309450.631841,2397143.319395,309470.452001,2397142.059139,1.0,309460.541921,2397142.689267,19.860186,1.634295,HV,0,1,0,1,0,0
2390,6,4,H,7917,1.0,309526.360737,2397196.964419,309520.969697,2397174.497731,1.0,309523.665217,2397185.731075,23.104445,0.235504,HP,0,1,0,1,0,0
2391,6,4,H,7924,1.0,309322.533025,2397181.743683,309339.891265,2397208.438211,1.0,309331.212145,2397195.090947,31.841896,0.576554,HO,0,1,0,1,0,0
2393,6,4,H,7936,1.0,309063.059297,2397215.499139,309069.688481,2397188.756611,1.0,309066.373889,2397202.127875,27.551931,2.898602,HP,0,1,0,1,0,0
2401,6,4,H,7961,1.0,309103.019937,2397224.992963,309105.561505,2397199.756387,1.0,309104.290721,2397212.374675,25.364233,3.041221,HP,0,1,0,1,0,0
2404,6,4,H,8023,1.0,309613.313185,2397261.244995,309600.938337,2397244.745315,1.0,309607.125761,2397252.995155,20.624653,0.643505,HO,1,1,0,1,1,0
2405,6,4,H,8024,1.0,309600.938337,2397244.745315,309592.592641,2397226.747747,1.0,309596.765489,2397235.746531,19.838425,0.434198,HO,1,1,0,1,1,0
2491,6,5,H,13444,1.0,310891.388899,2397412.391459,310863.718754,2397433.749987,1.0,310877.553826,2397423.070723,34.954594,2.228165,HO,0,1,0,1,0,0
2544,6,6,H,7646,1.0,311046.456931,2396962.998403,311075.436227,2396971.001251,1.0,311060.946579,2396966.999827,30.064018,1.301354,HV,1,1,0,1,1,0
2554,6,6,H,7827,1.0,311185.955107,2397129.268291,311182.089795,2397117.656259,1.0,311184.022451,2397123.462275,12.238461,0.321335,HP,0,1,0,1,0,0
2583,6,6,H,8152,1.0,311133.971459,2397339.458851,311136.491939,2397359.393603,1.0,311135.231699,2397349.426227,20.093461,0.125769,HP,0,1,0,1,0,0
2598,6,6,H,13431,1.0,311015.737859,2397023.481827,311019.747683,2397000.682915,1.0,311017.742771,2397012.082371,23.148846,2.967495,HP,0,1,0,1,0,0
2609,6,6,H,13455,1.0,311148.631971,2397517.708964,311167.312259,2397511.752292,1.0,311157.972115,2397514.730628,19.607017,1.879478,HV,0,1,0,1,0,0
2637,6,7,H,7456,1.0,312381.966884,2396803.007171,312421.93882,2396810.844643,1.0,312401.952852,2396806.925907,40.733053,1.377178,HV,1,1,0,1,1,0
2655,6,7,H,7757,1.0,312663.450788,2397063.351459,312664.593636,2397035.748835,1.0,312664.022212,2397049.550147,27.626273,3.100213,HP,0,1,0,1,0,0
2737,6,8,H,7671,1.0,313599.811813,2396982.743235,313644.251141,2396969.502563,1.0,313622.031477,2396976.122899,46.369918,1.860371,HV,1,1,1,1,0,0
2794,6,8,H,8251,1.0,313498.987461,2397489.427684,313522.690021,2397499.994788,1.0,313510.838741,2397494.711236,25.951398,1.151423,HO,1,1,0,1,1,0
2834,7,1,H,7015,1.0,306912.500447,2396389.744451,306906.904287,2396420.996451,1.0,306909.702367,2396405.370451,31.749087,2.964405,HP,0,1,0,1,0,0
2840,7,1,H,14713,1.0,306875.613695,2396378.581634,306882.540792,2396382.889948,1.0,306879.077244,2396380.735791,8.157588,1.014393,HO,0,1,0,1,0,0
3055,7,4,H,6274,1.0,309226.189281,2395718.766434,309169.030497,2395735.007042,1.0,309197.609889,2395726.886738,59.421241,1.847632,HV,0,1,0,1,0,0
3128,7,5,H,6432,1.0,310794.280962,2395900.004194,310798.969666,2395827.748866,1.0,310796.625314,2395863.87653,72.407295,3.076793,HP,0,1,0,1,0,0
3184,7,6,H,6541,1.0,311567.595683,2396003.251074,311593.720259,2395983.506658,1.0,311580.657971,2395993.378866,32.746533,2.217986,HO,0,1,0,1,0,0
3344,7,8,H,6203,1.0,313134.767109,2395632.05453,313111.749957,2395675.250242,1.0,313123.258533,2395653.652386,48.945468,2.652006,HO,1,1,0,1,0,0
3380,7,8,H,7164,1.0,313712.655781,2396491.545155,313686.992645,2396493.836483,1.0,313699.824213,2396492.690819,25.765223,1.659845,HV,0,1,0,1,0,0
