Landscape,row,col,type,id,bool1,X1,Y1,X2,Y2,bool2,XG,YG,Lng,Ang,typeH
B,"3",,H,"10230","1",308380.907392,2400631.245158,308364.40768,2400673.993094,"1",308372.657536,2400652.619126,45.821682,2.773233,HO
B,"3",,H,"10255","0",308364.40768,2400673.993094,308449.779904,2400698.756999,"0",308407.093792,2400686.375047,88.891325,1.288475,HV
B,"3",,H,"12843","1",308664.592576,2400426.249958,308681.725184,2400500.037798,"1",308673.15888,2400463.143878,75.75072,0.228145,HP
B,"3",,H,"12973","1",308162.153952,2399674.921158,308161.893248,2399665.751046,"1",308162.0236,2399670.336102,9.173817,0.028422,HP
B,"3",,H,"12974","1",308161.893248,2399665.751046,308162.966528,2399606.760038,"1",308162.429888,2399636.255542,59.000771,3.123401,HP
B,"3",,H,"9744","1",309476.750433,2399883.505478,309493.250145,2399737.496294,"1",309485.000289,2399810.500886,146.938498,3.029065,HP
B,"3",,H,"9758","1",309217.938465,2399886.502822,309251.061345,2399941.502438,"1",309234.499905,2399914.00263,64.20345,0.542064,HO
B,"3",,H,"9791","1",308882.031553,2399988.251046,308938.442977,2399980.014886,"1",308910.237265,2399984.132966,57.0095,1.715774,HV
B,"3",,H,"9805","1",309509.749857,2399916.504902,309545.499201,2399946.754374,"1",309527.624529,2399931.629638,46.829971,0.868539,HO
B,"3",,H,"9806","1",309545.499201,2399946.754374,309570.248801,2399986.75239,"1",309557.874001,2399966.753382,47.035986,0.554107,HO
B,"3",,H,"9807","1",309570.248801,2399986.75239,309578.498657,2400021.250502,"1",309574.373729,2400004.001446,35.470831,0.234731,HP
B,"3",,H,"9835","1",308882.031553,2399988.251046,308888.906433,2400050.248678,"1",308885.468993,2400019.249862,62.377643,0.110438,HP
B,"3",,H,"9841","1",309578.498657,2400021.250502,309582.623553,2400046.000102,"1",309580.561105,2400033.625302,25.090984,0.165147,HP
B,"3",,H,"9842","1",309582.623553,2400046.000102,309594.998337,2400056.999878,"1",309588.810945,2400051.49999,16.556882,0.844155,HO
B,"3",,H,"9843","1",309594.998337,2400056.999878,309614.344385,2400072.000934,"1",309604.671361,2400064.500406,24.48063,0.911232,HO
B,"3",,H,"9847","1",308948.126753,2400000.749542,308945.150881,2399994.334854,"1",308946.638817,2399997.542198,7.071353,0.434365,HO
B,"3",,H,"9848","1",308945.150881,2399994.334854,308938.442977,2399980.014886,"1",308941.796929,2399987.17487,15.813205,0.438074,HO
B,"3",,H,"9850","1",309614.344385,2400072.000934,309644.593825,2400073.499654,"1",309629.469105,2400072.750294,30.286545,1.521291,HV
B,"3",,H,"9851","1",309644.593825,2400073.499654,309648.217537,2400081.53575,"1",309646.405681,2400077.517702,8.815335,0.423627,HO
B,"3",,H,"9870","1",309309.123137,2400110.82823,309300.437153,2400062.499814,"1",309304.780145,2400086.664022,49.102771,0.17783,HP
