,row,col,type,id,bool1,X1,Y1,X2,Y2,bool2,XG,YG,Lng,Ang,typeH
6157,5,5,R,11310,1.0,310348.97345,2398344.997394,310352.922229,2398346.143814,1.0,310350.94784,2398345.570604,4.111829,1.288241,HV
6158,5,5,R,11311,1.0,310352.922229,2398346.143814,310358.526948,2398346.398574,1.0,310355.724588,2398346.271194,5.610506,1.525373,HV
6159,5,5,R,11312,1.0,310358.526948,2398346.398574,310365.023327,2398345.124774,1.0,310361.775138,2398345.761674,6.620084,1.764418,HV
6160,5,5,R,11323,1.0,310562.717057,2398278.632424,310574.308635,2398272.900325,1.0,310568.512846,2398275.766375,12.931421,2.030039,HO
6161,5,5,R,11324,1.0,310574.308635,2398272.900325,310580.295494,2398269.333685,1.0,310577.302065,2398271.117005,6.968745,2.108081,HO
6162,5,5,R,11325,1.0,310580.295494,2398269.333685,310584.881174,2398266.021806,1.0,310582.588334,2398267.677745,5.656589,2.196281,HO
6163,5,5,R,11326,1.0,310584.881174,2398266.021806,310589.212093,2398261.945647,1.0,310587.046634,2398263.983726,5.947431,2.325901,HO
6164,5,5,R,11329,1.0,310595.835852,2398254.175468,310599.657251,2398248.315989,1.0,310597.746551,2398251.245729,6.995469,2.563691,HO
6165,5,5,R,11330,1.0,310599.657251,2398248.315989,310603.733411,2398241.31009,1.0,310601.695331,2398244.813039,8.105412,2.614649,HO
6166,5,5,R,11333,1.0,310609.59289,2398229.463752,310612.904769,2398224.113792,1.0,310611.24883,2398226.788772,6.292107,2.587285,HO
6167,5,5,R,11334,1.0,310612.904769,2398224.113792,310617.999968,2398216.598374,1.0,310615.452369,2398220.356083,9.079789,2.545808,HO
6168,5,5,R,11335,1.0,310617.999968,2398216.598374,310621.057088,2398213.541254,1.0,310619.528528,2398215.069814,4.323421,2.356194,HO
6169,5,5,R,11339,1.0,310632.139146,2398204.369895,310637.489106,2398201.185396,1.0,310634.814126,2398202.777645,6.226002,2.107707,HO
6170,5,5,R,11340,1.0,310637.489106,2398201.185396,310643.985485,2398197.873516,1.0,310640.737296,2398199.529456,7.291878,2.042256,HO
6171,5,5,R,11341,1.0,310643.985485,2398197.873516,310653.284223,2398194.816397,1.0,310648.634854,2398196.344956,9.788386,1.888432,HV
6172,5,5,R,11342,1.0,310653.284223,2398194.816397,310663.474622,2398192.141417,1.0,310658.379423,2398193.478907,10.535642,1.827505,HV
6173,5,5,R,11343,1.0,310663.474622,2398192.141417,310679.524499,2398189.339058,1.0,310671.499561,2398190.740238,16.292691,1.743657,HV
6174,5,5,R,11348,1.0,310743.418297,2398175.19988,310756.283675,2398171.251101,1.0,310749.850986,2398173.225491,13.457742,1.868599,HV
6175,5,5,R,11349,1.0,310756.283675,2398171.251101,310765.582414,2398169.467781,1.0,310760.933045,2398170.359441,9.468198,1.760277,HV
6176,5,5,R,11350,1.0,310765.582414,2398169.467781,310774.881152,2398167.174941,1.0,310770.231783,2398168.321361,9.577246,1.812549,HV
6177,5,5,R,11353,1.0,310788.25605,2398165.646381,310792.58697,2398164.499962,1.0,310790.42151,2398165.073172,4.480083,1.829567,HV
6178,5,5,R,11356,1.0,310788.25605,2398165.646381,310792.20483,2398167.939221,1.0,310790.23044,2398166.792801,4.566178,1.04473,HO
6179,5,5,R,11357,1.0,310792.20483,2398167.939221,310795.516709,2398171.123721,1.0,310793.86077,2398169.531471,4.594517,0.805003,HO
