field_1,row,col,type,id,bool1,X1,Y1,X2,Y2,bool2,XG,YG,Lng,Ang,typeH,proche route,proche canal,perp route,perp canal
"5575","11","0",H,"1966",1,305911.40723,2392165.249855,305932.939038,2392165.249887,1,305922.173134,2392165.249871,21.531808,1.570795,HV,"0","0","0",
"5576","11","0",H,"1967",1,305932.939038,2392165.249887,305934.781822,2392179.494399,1,305933.86043,2392172.372143,14.363216,0.128653,HP,"0","0","0",
"5577","11","0",H,"1968",0,305934.781822,2392179.494399,305980.843518,2392177.748351,0,305957.81267,2392178.621375,46.094778,1.608685,HV,"0","0","0",
"5581","11","0",H,"2009",0,305922.186974,2392224.497503,305958.280094,2392209.249119,1,305940.233534,2392216.873311,39.181967,1.970525,HO,"1","0","0",
"5583","11","0",H,"2102",1,305882.092638,2392183.000831,305850.248126,2392224.250111,1,305866.170382,2392203.625471,52.111189,2.484159,HO,"1","0","0",
"5584","11","0",H,"2103",1,305850.248126,2392224.250111,305818.499966,2392224.250111,1,305834.374046,2392224.250111,31.74816,1.570796,HV,"0","0","0",
"5585","11","0",H,"2104",1,305818.499966,2392224.250111,305801.092734,2392241.753727,1,305809.79635,2392233.001919,24.685791,2.358955,HO,"0","0","0",
"5586","11","0",H,"2105",1,305801.092734,2392241.753727,305780.468094,2392241.753727,1,305790.780414,2392241.753727,20.62464,1.570796,HV,"0","0","0",
"5587","11","0",H,"2106",1,305780.468094,2392241.753727,305750.34243,2392221.004959,1,305765.405262,2392231.379343,36.579598,0.967667,HO,"0","0","0",
"5588","11","0",H,"2109",1,305761.43843,2392292.504159,305758.124734,2392341.755935,1,305759.781582,2392317.130047,49.363124,3.074413,HP,"0","0","0",
"5589","11","0",H,"2118",1,305924.813214,2392260.755999,305877.280222,2392260.755999,1,305901.046718,2392260.755999,47.532992,1.570796,HV,"1","0","0",
"5590","11","0",H,"2119",1,305877.280222,2392260.755999,305888.376382,2392352.493983,1,305882.828302,2392306.624991,92.406615,0.12037,HP,"0","0","0",
"5596","11","0",H,"2149",0,305913.24963,2392380.750047,305970.40755,2392379.498751,1,305941.82859,2392380.124399,57.171615,1.592685,HV,"1","0","1",
"5597","11","0",H,"2161",1,305898.124894,2392362.999039,305905.687294,2392382.248703,1,305901.906094,2392372.623871,20.681863,0.374335,HO,"1","0","0",
"5607","11","0",H,"2236",1,305926.779326,2392474.001023,305940.405438,2392481.756095,1,305933.592382,2392477.878559,15.678395,1.053382,HO,"1","0","0",
"5612","11","0",H,"2248",1,305923.781982,2392460.498655,305935.689342,2392474.001023,1,305929.735662,2392467.249839,18.002754,0.722709,HO,"1","0","0",
"5613","11","0",H,"2249",1,305935.689342,2392474.001023,305949.342942,2392478.745535,1,305942.516142,2392476.373279,14.454452,1.236358,HV,"1","0","0",
